,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILI AGE 0-4,ILI AGE 25-49,ILI AGE 25-64,ILI AGE 5-24,ILI AGE 50-64,ILI AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
146,Census Regions,East North Central,2018,4,5.17411,4.96917,1140,1047,1664,2410,617,500,5714,284,114989,16651,4600,651,31.53568,27.626,3.90968
147,Census Regions,West North Central,2018,4,7.8142,6.90327,745,538,783,1524,245,173,3225,169,46717,5020,1123,223,26.812730000000002,22.3705,4.44223
148,Census Regions,South Atlantic,2018,4,8.68352,9.19463,3183,5911,8599,8626,2688,1713,22121,387,240586,16830,3587,714,25.555519999999998,21.3131,4.24242
149,Census Regions,East South Central,2018,4,8.93079,10.4728,1507,2353,3356,3617,1003,655,9135,225,87226,3758,645,187,22.13945,17.1634,4.97605
150,Census Regions,West South Central,2018,4,13.0336,10.6709,1700,3024,4398,4577,1374,707,11382,240,106664,10126,2195,1256,34.080600000000004,21.6769,12.4037
151,Census Regions,Mountain,2018,4,3.63617,3.84732,770,807,1330,1495,523,472,4067,228,105710,6568,851,516,20.81307,12.9568,7.85627
152,Census Regions,Pacific,2018,4,4.05095,4.26372,775,1009,1599,1668,590,474,4516,283,105917,7061,745,588,18.87833,10.5509,8.32743
153,Census Regions,New England,2018,5,5.1923,5.17253,471,556,822,1610,266,200,3103,137,59990,5205,1177,348,29.29878,22.6129,6.68588
154,Census Regions,Mid-Atlantic,2018,5,8.77155,7.69079,3685,3564,5326,7284,1762,1291,17586,323,228663,10797,2186,1161,30.9994,20.2464,10.753
155,Census Regions,East North Central,2018,5,5.56472,5.48232,1206,1010,1617,2817,607,469,6109,276,111431,16238,4029,769,29.548000000000002,24.8122,4.7358
156,Census Regions,West North Central,2018,5,7.81216,7.3286,802,630,959,1892,329,194,3847,173,52493,5297,1016,358,25.93924,19.1807,6.75854
157,Census Regions,South Atlantic,2018,5,8.80327,10.2321,3364,6524,9245,10557,2721,1648,24814,388,242512,16557,3115,1117,25.56019,18.8138,6.74639
158,Census Regions,East South Central,2018,5,9.51268,10.7916,1620,2225,3187,3957,962,520,9284,221,86030,3499,559,204,21.806240000000003,15.976,5.83024
159,Census Regions,West South Central,2018,5,12.6394,10.6304,1697,2726,3909,5139,1183,652,11397,243,107211,10507,1746,1635,32.1786,16.6175,15.5611
160,Census Regions,Mountain,2018,5,4.18183,4.82743,1171,928,1477,2030,549,518,5196,223,107635,6865,755,685,20.975949999999997,10.9978,9.97815
161,Census Regions,Pacific,2018,5,4.18438,4.40143,838,932,1482,1966,550,473,4759,281,108124,6722,610,638,18.5659,9.07468,9.49122
162,Census Regions,New England,2018,6,5.78721,5.63623,555,549,816,1914,267,212,3497,141,62045,5560,1317,515,32.949690000000004,23.6871,9.26259
163,Census Regions,Mid-Atlantic,2018,6,9.28371,8.44254,3892,4104,5964,8461,1860,1378,19695,327,233283,11227,2292,1382,32.7247,20.4151,12.3096
164,Census Regions,East North Central,2018,6,5.69824,5.49423,1149,1034,1614,2552,580,469,5784,277,105274,15866,3751,920,29.440260000000002,23.6417,5.79856
165,Census Regions,West North Central,2018,6,7.89561,7.60172,788,622,898,1774,276,213,3673,169,48318,4989,886,458,26.9393,17.7591,9.1802
166,Census Regions,South Atlantic,2018,6,8.76769,10.5861,3694,6714,9483,11701,2769,1596,26474,391,250083,16903,2935,1385,25.55761,17.3638,8.19381
167,Census Regions,East South Central,2018,6,8.92672,10.2393,1520,2114,2932,3884,818,499,8835,220,86285,3743,506,325,22.20147,13.5186,8.68287
168,Census Regions,West South Central,2018,6,11.5282,9.50328,1572,2486,3571,4364,1085,612,10119,240,106479,9835,1346,1566,29.6085,13.6858,15.9227
169,Census Regions,Mountain,2018,6,4.04686,4.38514,1190,989,1564,2170,575,518,5442,243,124101,6554,545,659,18.37043,8.31553,10.0549
170,Census Regions,Pacific,2018,6,3.68244,3.7725,832,893,1284,1637,391,374,4127,282,109397,6714,538,648,17.66458,8.01311,9.65147
171,Census Regions,New England,2018,7,5.26147,5.15032,530,487,766,1775,279,189,3260,138,63297,5694,1323,604,33.8427,23.235,10.6077
172,Census Regions,Mid-Atlantic,2018,7,9.21391,8.44047,3775,3954,5803,7696,1849,1306,18580,287,220130,11267,2100,1444,31.454700000000003,18.6385,12.8162
173,Census Regions,East North Central,2018,7,4.5594,4.49397,938,926,1465,2089,539,416,4908,272,109213,14896,3157,1220,29.38372,21.1936,8.19012
174,Census Regions,West North Central,2018,7,7.27569,7.0925,700,615,899,1673,284,189,3461,168,48798,4970,731,554,25.8551,14.7082,11.1469
175,Census Regions,South Atlantic,2018,7,7.14822,9.36158,3174,5743,8274,9479,2531,1523,22450,385,239810,13625,2012,1214,23.67709,14.767,8.91009
176,Census Regions,East South Central,2018,7,6.97762,7.12124,1043,1434,2038,2576,604,367,6024,215,84592,3394,321,294,18.12022,9.45787,8.66235
177,Census Regions,West South Central,2018,7,9.71705,8.06284,1338,2089,3045,3323,956,531,8237,235,102160,8889,942,1611,28.7209,10.5974,18.1235
178,Census Regions,Mountain,2018,7,3.81358,3.82455,1116,1142,1732,1969,590,522,5339,242,139598,6126,388,673,17.31966,6.33366,10.986
179,Census Regions,Pacific,2018,7,3.55091,3.58462,726,773,1211,1404,438,387,3728,273,104000,6112,397,596,16.24673,6.49542,9.75131
180,Census Regions,New England,2018,8,4.38854,4.36349,375,505,707,1114,202,190,2386,140,54681,4752,904,513,29.8191,19.0236,10.7955
181,Census Regions,Mid-Atlantic,2018,8,6.7648,6.15717,2958,2776,4174,4568,1398,1064,12764,317,207303,8573,1271,1110,27.7732,14.8256,12.9476
182,Census Regions,East North Central,2018,8,3.6185,3.65432,795,711,1133,1562,422,350,3840,277,105081,12772,2184,1298,27.262800000000002,17.0999,10.1629
183,Census Regions,West North Central,2018,8,5.38206,5.57851,562,473,726,1098,253,166,2552,165,45747,4432,568,519,24.5262,12.8159,11.7103
184,Census Regions,South Atlantic,2018,8,4.77635,6.22632,2077,3725,5246,5420,1521,978,13721,381,220371,9864,984,767,17.75142,9.97567,7.77575
185,Census Regions,East South Central,2018,8,5.53988,5.88028,873,1124,1575,1634,451,255,4337,215,73755,2425,137,183,13.19587,5.64948,7.54639
186,Census Regions,West South Central,2018,8,7.37146,5.852,939,1522,2192,2207,670,412,5750,244,98257,6666,491,945,21.54214,7.36574,14.1764
187,Census Regions,Mountain,2018,8,3.58728,3.50474,895,867,1356,1624,489,453,4328,240,123490,5171,315,514,16.03172,6.09167,9.94005
188,Census Regions,Pacific,2018,8,3.39205,3.45564,668,725,1127,1167,402,321,3283,280,95004,5379,323,551,16.24833,6.00483,10.2435
189,Census Regions,New England,2018,9,3.41332,3.06406,281,313,467,799,154,142,1689,136,55123,3753,605,355,25.5795,16.1204,9.4591
190,Census Regions,Mid-Atlantic,2018,9,4.5956,3.92345,1726,1791,2619,2534,828,618,7497,285,191082,6084,581,548,18.55687,9.54964,9.00723
191,Census Regions,East North Central,2018,9,2.69691,2.57082,625,456,762,1061,306,252,2700,267,105025,10181,1387,977,23.21971,13.6234,9.59631
192,Census Regions,West North Central,2018,9,4.08936,4.46144,476,381,581,827,200,158,2042,161,45770,3722,339,495,22.407310000000003,9.10801,13.2993
193,Census Regions,South Atlantic,2018,9,3.14674,3.99882,1463,2307,3274,3094,967,545,8376,380,209462,7665,566,474,13.56816,7.38421,6.18395
194,Census Regions,East South Central,2018,9,3.58741,3.73589,525,649,939,982,290,138,2584,214,69167,1780,60,100,8.98877,3.37079,5.61798
195,Census Regions,West South Central,2018,9,5.39425,4.36136,811,1019,1508,1550,489,249,4118,235,94420,5097,248,573,16.107509999999998,4.86561,11.2419
196,Census Regions,Mountain,2018,9,2.85199,2.48801,696,780,1199,1175,419,411,3481,238,139911,4960,299,501,16.12903,6.02823,10.1008
197,Census Regions,Pacific,2018,9,3.4076,3.38791,587,749,1177,1348,428,333,3445,278,101685,5247,320,536,16.314120000000003,6.09872,10.2154
198,Census Regions,New England,2018,10,2.55242,2.40386,218,227,344,553,117,97,1212,136,50419,3042,297,256,18.17883,9.76331,8.41552
199,Census Regions,Mid-Atlantic,2018,10,4.10041,3.09775,1470,1278,1891,1938,613,489,5788,315,186845,4772,356,341,14.60603,7.46018,7.14585
200,Census Regions,East North Central,2018,10,2.39514,2.27663,508,460,742,912,282,226,2388,272,104892,8443,843,857,20.134999999999998,9.9846,10.1504
201,Census Regions,West North Central,2018,10,3.78358,4.24913,378,320,463,740,143,128,1709,164,40220,3171,220,385,19.079169999999998,6.93787,12.1413
202,Census Regions,South Atlantic,2018,10,2.75734,3.36717,1323,1820,2525,2605,705,403,6856,375,203613,6576,422,367,11.99817,6.41727,5.5809
203,Census Regions,East South Central,2018,10,2.8527,3.08304,514,465,689,772,224,119,2094,209,67920,1535,27,75,6.64495,1.75896,4.88599
204,Census Regions,West South Central,2018,10,4.3279,3.606,740,790,1124,1123,334,209,3196,232,88630,4077,120,284,9.90925,2.94334,6.96591
205,Census Regions,Mountain,2018,10,2.40656,2.17866,573,483,862,903,379,338,2676,228,122828,4355,254,421,15.49943,5.83238,9.66705
206,Census Regions,Pacific,2018,10,3.29111,3.17116,633,640,982,1295,342,280,3190,272,100594,5007,358,548,18.09469,7.14999,10.9447
207,Census Regions,New England,2018,11,2.42643,2.24614,200,173,289,406,116,86,981,132,43675,2451,230,202,17.62545,9.38392,8.24153
208,Census Regions,Mid-Atlantic,2018,11,3.34087,2.70471,1234,1116,1677,1840,561,423,5174,317,191296,4364,250,324,13.15307,5.72869,7.42438
209,Census Regions,East North Central,2018,11,2.14207,2.07558,441,429,677,710,248,197,2025,270,97563,8013,769,975,21.764609999999998,9.59691,12.1677
210,Census Regions,West North Central,2018,11,2.73788,3.43512,333,243,372,529,129,117,1351,163,39329,2621,167,296,17.665010000000002,6.37161,11.2934
211,Census Regions,South Atlantic,2018,11,2.59137,3.21168,1191,1762,2473,2565,711,377,6606,380,205687,6268,376,399,12.36439,5.99872,6.36567
212,Census Regions,East South Central,2018,11,2.21272,2.61348,455,433,618,609,185,100,1782,208,68185,1388,21,71,6.62824,1.51297,5.11527
213,Census Regions,West South Central,2018,11,3.36028,2.91147,632,692,955,758,263,166,2511,226,86245,3192,74,180,7.9574,2.3183,5.6391
214,Census Regions,Mountain,2018,11,2.30822,2.05616,571,418,701,777,283,338,2387,227,116090,3853,203,385,15.26083,5.26862,9.99221
215,Census Regions,Pacific,2018,11,3.24774,3.15252,533,659,976,1285,317,317,3111,265,98683,4644,259,552,17.46339,5.57709,11.8863
216,Census Regions,New England,2018,12,2.08403,1.86109,158,163,260,510,97,79,1007,134,54108,2385,188,184,15.597480000000001,7.8826,7.71488
217,Census Regions,Mid-Atlantic,2018,12,2.96261,2.54972,1182,1111,1573,1666,462,423,4844,316,189982,4010,251,292,13.54115,6.25935,7.2818
218,Census Regions,East North Central,2018,12,2.14968,2.09114,521,400,625,735,225,189,2070,267,98989,7882,731,1147,23.8264,9.2743,14.5521
219,Census Regions,West North Central,2018,12,2.68722,2.89396,290,176,274,447,98,103,1114,158,38494,2334,105,223,14.05312,4.49871,9.55441
220,Census Regions,South Atlantic,2018,12,2.21751,2.9081,1134,1574,2226,2227,652,350,5937,374,204154,5780,346,422,13.2872,5.98616,7.30104
221,Census Regions,East South Central,2018,12,2.04973,2.40174,393,409,563,540,154,102,1598,201,66535,1220,28,68,7.86885,2.29508,5.57377
222,Census Regions,West South Central,2018,12,2.83778,2.61212,615,554,827,746,273,175,2363,230,90463,2604,49,122,6.56682,1.88172,4.6851
223,Census Regions,Mountain,2018,12,2.06746,1.72472,442,412,663,664,251,273,2042,230,118396,3158,143,261,12.7929,4.52818,8.26472
224,Census Regions,Pacific,2018,12,2.91804,2.91921,477,607,958,1100,351,275,2810,258,96259,4069,182,384,13.91005,4.47284,9.43721
225,Census Regions,New England,2018,13,2.19066,1.89217,187,170,298,475,128,95,1055,139,55756,2076,159,201,17.34104,7.65896,9.68208
226,Census Regions,Mid-Atlantic,2018,13,2.9131,2.41073,1131,1014,1497,1592,483,375,4595,309,190606,3863,285,319,15.63552,7.37769,8.25783
227,Census Regions,East North Central,2018,13,2.11168,2.10115,405,356,584,599,228,159,1747,258,83145,7720,594,1211,23.3808,7.6943,15.6865
228,Census Regions,West North Central,2018,13,2.13486,2.54649,264,163,252,384,89,86,986,161,38720,2088,79,185,12.64367,3.78352,8.86015
229,Census Regions,South Atlantic,2018,13,2.28837,2.81394,993,1306,1870,1802,564,295,4960,368,176265,5168,283,391,13.041799999999999,5.47601,7.56579
230,Census Regions,East South Central,2018,13,1.87577,2.13897,354,367,504,440,137,106,1404,200,65639,1173,18,60,6.6496200000000005,1.53453,5.11509
231,Census Regions,West South Central,2018,13,3.00745,2.47227,575,489,704,698,215,147,2124,228,85913,2258,25,56,3.58724,1.10717,2.48007
232,Census Regions,Mountain,2018,13,1.74673,1.64857,335,291,462,465,171,241,1503,208,91170,2678,93,180,10.19417,3.47274,6.72143
233,Census Regions,Pacific,2018,13,2.61322,2.65262,478,564,844,761,280,239,2322,260,87536,3644,172,324,13.611419999999999,4.72009,8.89133
234,Census Regions,New England,2018,14,2.03106,1.84353,210,161,246,463,85,90,1009,131,54732,2076,125,224,16.81119,6.02119,10.79
235,Census Regions,Mid-Atlantic,2018,14,2.57914,2.04162,1057,972,1447,1157,475,398,4059,308,198813,3211,200,258,14.263469999999998,6.22859,8.03488
236,Census Regions,East North Central,2018,14,1.7533,1.7355,367,345,543,552,198,155,1617,261,93172,6999,361,897,17.97398,5.15788,12.8161
237,Census Regions,West North Central,2018,14,1.74298,2.07399,179,127,177,283,50,59,698,146,33655,1831,64,152,11.79683,3.49536,8.30147
238,Census Regions,South Atlantic,2018,14,1.91094,2.42136,1056,1288,1882,1525,594,328,4791,372,197864,4707,174,346,11.047369999999999,3.69662,7.35075
239,Census Regions,East South Central,2018,14,1.65837,1.8913,348,307,450,395,143,83,1276,201,67467,1111,16,36,4.68046,1.44014,3.24032
240,Census Regions,West South Central,2018,14,2.53321,2.21001,520,425,585,520,160,145,1770,213,80090,1954,18,53,3.633567,0.921187,2.71238
241,Census Regions,Mountain,2018,14,1.7276,1.45838,420,369,587,553,218,219,1779,229,121985,2294,56,116,7.497820000000001,2.44115,5.05667
242,Census Regions,Pacific,2018,14,2.24101,2.29597,393,458,693,763,235,219,2068,256,90071,3156,118,255,11.818760000000001,3.73891,8.07985
243,Census Regions,New England,2018,15,1.89908,1.76613,203,158,251,480,93,71,1005,130,56904,1919,115,197,16.2585,5.9927,10.2658
244,Census Regions,Mid-Atlantic,2018,15,2.29452,1.85265,1063,785,1184,1060,399,315,3622,310,195504,2802,141,146,10.24268,5.03212,5.21056
245,Census Regions,East North Central,2018,15,1.6273,1.52975,313,316,525,502,209,146,1486,260,97140,6571,298,862,17.65328,4.53508,13.1182
246,Census Regions,West North Central,2018,15,1.53115,1.95176,212,128,181,275,53,57,725,153,37146,1719,51,96,8.55148,2.96684,5.58464
247,Census Regions,South Atlantic,2018,15,1.60353,2.03393,910,1029,1524,1327,495,294,4055,365,199368,4568,156,308,10.15762,3.41506,6.74256
248,Census Regions,East South Central,2018,15,1.46459,1.78703,340,311,407,372,96,92,1211,189,67766,935,19,28,5.02674,2.03209,2.99465
249,Census Regions,West South Central,2018,15,2.17422,2.05749,507,363,518,500,155,114,1639,208,79660,1795,8,39,2.618382,0.445682,2.1727
250,Census Regions,Mountain,2018,15,1.48865,1.32169,259,218,347,445,129,181,1232,204,93214,2170,51,73,5.71429,2.35023,3.36406
251,Census Regions,Pacific,2018,15,1.72178,1.76149,341,441,630,547,189,179,1697,257,96339,2573,62,168,8.93898,2.40964,6.52934
252,Census Regions,New England,2018,16,1.77098,1.60965,168,134,220,342,86,52,782,129,48582,1654,73,153,13.66384,4.41354,9.2503
253,Census Regions,Mid-Atlantic,2018,16,2.02803,1.68407,1031,664,920,1000,256,245,3196,305,189778,2555,126,91,8.49315,4.93151,3.56164
254,Census Regions,East North Central,2018,16,1.3547,1.25716,244,221,364,429,143,130,1167,255,92828,5484,168,648,14.879660000000001,3.06346,11.8162
255,Census Regions,West North Central,2018,16,1.23091,1.38979,129,70,96,210,26,14,449,144,32307,1600,40,105,9.0625,2.5,6.5625
256,Census Regions,South Atlantic,2018,16,1.37494,1.69718,773,836,1179,1235,343,197,3384,367,199390,4142,111,219,7.96716,2.67986,5.2873
257,Census Regions,East South Central,2018,16,1.28907,1.59914,334,240,335,396,95,71,1136,195,71038,902,6,24,3.3259380000000003,0.665188,2.66075
258,Census Regions,West South Central,2018,16,2.16474,2.09518,582,447,615,588,168,112,1897,227,90541,1670,5,26,1.8562910000000001,0.299401,1.55689
259,Census Regions,Mountain,2018,16,1.4043,1.08269,261,262,407,452,145,156,1276,228,117855,1751,29,63,5.25414,1.6562,3.59794
260,Census Regions,Pacific,2018,16,1.70281,1.69786,337,342,512,617,170,139,1605,253,94531,1725,37,95,7.6521799999999995,2.14493,5.50725
261,Census Regions,New England,2018,17,1.49462,1.30523,154,126,174,326,48,44,698,129,53477,1425,48,101,10.45614,3.36842,7.08772
262,Census Regions,Mid-Atlantic,2018,17,1.93003,1.64229,943,625,935,1078,310,283,3239,307,197225,2273,99,90,8.315,4.35548,3.95952
263,Census Regions,East North Central,2018,17,1.30732,1.28329,273,230,350,398,120,125,1146,250,89302,4694,120,450,12.14317,2.55646,9.58671
264,Census Regions,West North Central,2018,17,1.21179,1.43316,144,65,98,179,33,30,451,140,31469,1414,35,69,7.35502,2.47525,4.87977
265,Census Regions,South Atlantic,2018,17,1.28294,1.62314,753,725,1016,1262,291,157,3188,357,196410,3909,80,204,7.26529,2.04656,5.21873
266,Census Regions,East South Central,2018,17,1.13083,1.50083,296,257,351,350,94,57,1054,191,70228,803,5,14,2.3661250000000003,0.622665,1.74346
267,Census Regions,West South Central,2018,17,2.07102,2.09269,584,402,586,591,184,113,1874,223,89550,1526,9,17,1.703797,0.589777,1.11402
268,Census Regions,Mountain,2018,17,1.37789,1.1432,292,311,457,480,146,174,1403,225,122726,1470,29,53,5.5782300000000005,1.97279,3.60544
269,Census Regions,Pacific,2018,17,1.69201,1.59271,286,289,436,679,147,118,1519,257,95372,1814,47,76,6.7806,2.59096,4.18964
270,Census Regions,New England,2018,18,1.34454,1.18257,146,97,161,278,64,33,618,122,52259,1094,15,50,5.9415,1.37112,4.57038
271,Census Regions,Mid-Atlantic,2018,18,2.4451,1.59246,1026,515,794,1053,279,275,3148,303,197681,2139,67,52,5.56334,3.1323,2.43104
272,Census Regions,East North Central,2018,18,1.06622,0.994027,209,172,280,294,108,69,852,232,85712,4086,114,337,11.03768,2.79001,8.24767
273,Census Regions,West North Central,2018,18,0.846129,1.08131,115,38,64,146,26,12,337,138,31166,1157,30,43,6.309419999999999,2.59291,3.71651
274,Census Regions,South Atlantic,2018,18,1.29075,1.59203,780,637,905,1204,268,164,3053,344,191768,3621,74,159,6.43468,2.04363,4.39105
275,Census Regions,East South Central,2018,18,1.08426,1.44109,282,196,277,302,81,63,924,186,64118,734,4,13,2.316079,0.544959,1.77112
276,Census Regions,West South Central,2018,18,2.02718,1.9086,523,386,499,540,113,109,1671,218,87551,1320,3,11,1.060606,0.227273,0.833333
277,Census Regions,Mountain,2018,18,1.42306,1.14718,280,281,428,427,147,142,1277,216,111316,1412,25,32,4.03683,1.77054,2.26629
278,Census Regions,Pacific,2018,18,1.62056,1.51817,295,278,407,566,129,125,1393,246,91755,1532,14,27,2.676238,0.913838,1.7624
279,Census Regions,New England,2018,19,0.993134,0.943321,123,74,109,206,35,38,476,116,50460,843,4,20,2.8469759999999997,0.474496,2.37248
280,Census Regions,Mid-Atlantic,2018,19,1.68686,1.45721,1035,496,729,989,233,209,2962,296,203265,1927,36,50,4.4629,1.86819,2.59471
281,Census Regions,East North Central,2018,19,0.959977,0.954011,209,167,241,269,74,67,786,230,82389,3411,41,198,7.006740000000001,1.20199,5.80475
282,Census Regions,West North Central,2018,19,0.811207,0.969278,107,28,42,126,14,14,289,135,29816,1115,10,27,3.318381,0.896861,2.42152
283,Census Regions,South Atlantic,2018,19,1.00184,1.22391,593,408,565,795,157,108,2061,289,168395,3193,67,118,5.79392,2.09834,3.69558
284,Census Regions,East South Central,2018,19,0.982998,1.27651,239,166,229,270,63,69,807,173,63219,685,3,11,2.043796,0.437956,1.60584
285,Census Regions,West South Central,2018,19,1.95164,1.94926,570,336,469,520,133,126,1685,217,86443,1204,7,9,1.328903,0.581395,0.747508
286,Census Regions,Mountain,2018,19,1.17971,0.944022,292,264,386,397,122,149,1224,222,129658,1327,14,14,2.11002,1.05501,1.05501
287,Census Regions,Pacific,2018,19,1.57051,1.4389,275,266,370,560,104,122,1327,244,92223,1273,9,20,2.2780810000000002,0.706991,1.57109
288,Census Regions,New England,2018,20,0.958522,0.870559,124,79,110,160,31,25,419,111,48130,768,12,10,2.86458,1.5625,1.30208
289,Census Regions,Mid-Atlantic,2018,20,1.61921,1.41933,912,517,728,868,211,194,2702,283,190371,1749,27,21,2.74443,1.54374,1.20069
290,Census Regions,East North Central,2018,20,0.898043,0.853816,235,146,220,208,74,63,726,231,85030,2649,33,74,4.03926,1.24575,2.79351
291,Census Regions,West North Central,2018,20,0.791486,1.00333,92,36,48,126,12,17,283,134,28206,937,5,14,2.027748,0.533618,1.49413
292,Census Regions,South Atlantic,2018,20,1.00242,1.22852,713,500,685,897,185,126,2421,344,197066,2960,83,86,5.70946,2.80405,2.90541
293,Census Regions,East South Central,2018,20,0.860831,1.20186,260,168,226,246,58,57,789,182,65648,639,2,5,1.095462,0.312989,0.782473
294,Census Regions,West South Central,2018,20,1.56155,1.75554,498,328,448,433,120,89,1468,215,83621,1071,4,8,1.120448,0.373483,0.746965
295,Census Regions,Mountain,2018,20,1.15095,0.976622,292,216,315,395,99,128,1130,222,115705,1127,4,7,0.976043,0.354925,0.621118
296,Census Regions,Pacific,2018,20,1.38657,1.25207,233,248,363,433,115,100,1129,244,90171,1113,6,11,1.527404,0.539084,0.98832
297,Census Regions,New England,2018,21,1.35103,0.941641,144,59,83,159,24,29,415,102,44072,650,8,4,1.846155,1.23077,0.615385
298,Census Regions,Mid-Atlantic,2018,21,1.68821,1.45137,976,500,703,856,203,244,2779,282,191474,1587,18,9,1.701328,1.13422,0.567108
299,Census Regions,East North Central,2018,21,0.964666,0.901151,200,157,235,196,78,51,682,213,75681,2257,14,33,2.082412,0.620292,1.46212
300,Census Regions,West North Central,2018,21,0.81197,1.16815,101,34,48,118,14,12,279,124,23884,911,3,12,1.6465379999999998,0.329308,1.31723
301,Census Regions,South Atlantic,2018,21,0.988876,1.19089,715,452,600,790,148,125,2230,323,187255,2831,62,75,4.8392800000000005,2.19004,2.64924
302,Census Regions,East South Central,2018,21,0.869529,1.16106,233,136,203,230,67,52,718,180,61840,588,1,4,0.85034,0.170068,0.680272
